unit,trial_name,source_type,source_citation,arm,timepoint,organism,phenotype_measured,phenotype_as_labeled,relabeled,mechanism_discriminating,discrimination_method,numerator,denominator,proportion,denominator_basis,denominator_intervention_affected,description_denominator_mismatch,significance_reported,p_value,locator
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2 (Int J Infect Dis 147:107186),doxy,followup_mo6_mo12_pooled,mssa,doxycycline,tetracycline,True,no,standard_breakpoint,15,71,0.2112676056338028,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6 (DoxyPEP, S. aureus MSSA)"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,doxy,followup_mo6_mo12_pooled,mrsa,doxycycline,tetracycline,True,no,standard_breakpoint,1,11,0.09090909090909091,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6 (DoxyPEP, S. aureus MRSA)"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,control,followup_mo6_mo12_pooled,mssa,doxycycline,tetracycline,True,no,standard_breakpoint,3,47,0.06382978723404255,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,control,followup_mo6_mo12_pooled,mrsa,doxycycline,tetracycline,True,no,standard_breakpoint,2,6,0.3333333333333333,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,doxy,baseline,mssa,doxycycline,tetracycline,True,no,standard_breakpoint,11,118,0.09322033898305085,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,doxy,baseline,mrsa,doxycycline,tetracycline,True,no,standard_breakpoint,1,20,0.05,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,control,baseline,mssa,doxycycline,tetracycline,True,no,standard_breakpoint,9,67,0.13432835820895522,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,secondary_synthesis,Szondy 2024 Table 2,control,baseline,mrsa,doxycycline,tetracycline,True,no,standard_breakpoint,4,9,0.4444444444444444,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6"
doxypep_us,DoxyPEP,guideline,CDC MMWR 2024 (Bachmann),doxy,baseline,s_aureus,not_stated,tetracycline,True,no,none,20,428,0.04672897196261682,unclear,no,yes,none,,CDC MMWR p. 6 (Potential Resistance in Commensals)
doxypep_us,DoxyPEP,guideline,CDC MMWR 2024 (Bachmann),doxy,month12,s_aureus,not_stated,tetracycline,True,no,none,28,222,0.12612612612612611,unclear,no,yes,none,,CDC MMWR p. 6
doxyvac,DOXYVAC (ANRS 174),primary_trial,DOXYVAC AMR substudy (ciaf591),doxy,over_study,n_gonorrhoeae,tetracycline,tetracycline,False,yes,tetM_pcr,11,31,0.3548387096774194,isolates_cultured,no,no,between_arm,0.043,ciaf591 Results / Table (high-level tetracycline resistance)
doxyvac,DOXYVAC (ANRS 174),primary_trial,DOXYVAC AMR substudy (ciaf591),control,over_study,n_gonorrhoeae,tetracycline,tetracycline,False,yes,tetM_pcr,5,40,0.125,isolates_cultured,no,no,between_arm,0.043,"ciaf591 Table (high-level tetracycline resistance, no-PEP arm)"
dudhs,DuDHS,primary_trial,Grennan 2026 (DuDHS),combined,over_48wk_followup,s_aureus,doxycycline,doxycycline,False,no,standard_breakpoint,6,9,0.6666666666666666,colonized_participants,no,no,between_arm,0.077,"Abstract; Results (S. aureus), Figure 3"
dudhs,DuDHS,secondary_synthesis,Szondy 2024 Table 2 (DuDHS row),doxy,followup,s_aureus,doxycycline,tetracycline,True,no,standard_breakpoint,4,9,0.4444444444444444,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6 (DuDHS)"
dudhs,DuDHS,secondary_synthesis,Szondy 2024 Table 2 (DuDHS row),control,followup,s_aureus,doxycycline,tetracycline,True,no,standard_breakpoint,1,2,0.5,isolates_cultured,no,no,none,,"Szondy Table 2, p. 6 (DuDHS)"
